name,set,google_search_url,Ungraded,Grade_9,Grade_10,final_url
Weepinbell,151,https://www.google.com/search?q=Weepinbell 151 site:pricecharting.com,1.49,12.27,36.29,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/weepinbell-70
Mr. Mime,Hidden Fates,https://www.google.com/search?q=Mr. Mime Hidden Fates site:pricecharting.com,1.4,34.38,41,https://www.pricecharting.com/game/pokemon-hidden-fates/mr-mime-43
Abra,Base,https://www.google.com/search?q=Abra Base site:pricecharting.com,1.84,23.43,81.45,https://www.pricecharting.com/game/pokemon-base-set/abra-43
Granbull,Neo Genesis,https://www.google.com/search?q=Granbull Neo Genesis site:pricecharting.com,2.24,40.86,66.22,https://www.pricecharting.com/game/pokemon-neo-genesis/granbull-37
Stoutland,Boundaries Crossed,https://www.google.com/search?q=Stoutland Boundaries Crossed site:pricecharting.com,3.45,25.64,131.08,https://www.pricecharting.com/game/pokemon-boundaries-crossed/stoutland-122
Tropius,Cosmic Eclipse,https://www.google.com/search?q=Tropius Cosmic Eclipse site:pricecharting.com,1.25,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/tropius-12
Chatot,Majestic Dawn,https://www.google.com/search?q=Chatot Majestic Dawn site:pricecharting.com,1.56,,,https://www.pricecharting.com/game/pokemon-majestic-dawn/chatot-55
Talonflame,Evolving Skies,https://www.google.com/search?q=Talonflame Evolving Skies site:pricecharting.com,1.34,12.52,35.03,https://www.pricecharting.com/game/pokemon-evolving-skies/talonflame-140
White Kyurem-EX,Boundaries Crossed,https://www.google.com/search?q=White Kyurem-EX Boundaries Crossed site:pricecharting.com,3.78,17.69,65.27,https://www.pricecharting.com/game/pokemon-boundaries-crossed/white-kyurem-ex-103
Sandygast,Cosmic Eclipse,https://www.google.com/search?q=Sandygast Cosmic Eclipse site:pricecharting.com,1.21,4.62,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/sandygast-126
Mew,Hidden Fates,https://www.google.com/search?q=Mew Hidden Fates site:pricecharting.com,1.87,12.61,35,https://www.pricecharting.com/game/pokemon-hidden-fates/mew-32
Hitmonchan,151,https://www.google.com/search?q=Hitmonchan 151 site:pricecharting.com,1.11,11.74,34.81,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/hitmonchan-107
Flygon-GX,Cosmic Eclipse,https://www.google.com/search?q=Flygon-GX Cosmic Eclipse site:pricecharting.com,2.4,15.25,42.79,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/flygon-gx-110
Passimian,Cosmic Eclipse,https://www.google.com/search?q=Passimian Cosmic Eclipse site:pricecharting.com,1.03,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/passimian-125
Jigglypuff,151,https://www.google.com/search?q=Jigglypuff 151 site:pricecharting.com,1.09,11.69,34.68,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/jigglypuff-39
